shell.number,treatment,G,OmegaAragonite,duration,shell.wt,shell.length
1,shell.trossulus,-0.362562851,0.071563407,42.9,4.03,62.5
2,shell.trossulus,-0.300549173,0.062874846,42.88333333,3.9,54.9
3,shell.trossulus,-0.286323854,0.062625307,42.81666667,4.75,64.9
4,shell.trossulus,-0.360792127,0.060726743,42.76666667,3.06,56.3
5,shell.trossulus,-0.311199198,0.062752011,42.88333333,3.5,54.3
6,shell.trossulus,-0.382210771,0.061827298,43.26666667,2.2,51.2
7,shell.trossulus,-0.312517637,0.065556105,43.26666667,2.84,54.8
8,shell.trossulus,-0.278290261,0.062100248,43.28333333,3.85,57
9,shell.trossulus,-0.332801755,0.069636295,43.28333333,3.55,57.2
10,shell.trossulus,-0.26083949,0.077157608,43.21666667,4.54,68.4
11,shell.trossulus,-0.232987762,0.078475797,43.2,3.89,55.5
12,shell.trossulus,-0.314032336,0.091818609,43.18333333,3.02,55.8
13,shell.trossulus,-0.290087555,0.117258541,43.28333333,3.46,52.5
14,shell.trossulus,-0.274741609,0.107757406,43.36666667,3.02,54.3
15,shell.trossulus,-0.310901711,0.139913245,43.38333333,2.56,53.3
16,shell.trossulus,-0.166021801,0.14526205,43.38333333,3.55,54.2
17,shell.trossulus,-0.335403774,0.059541218,43,3.97,57.5
18,shell.trossulus,-0.387930379,0.14922678,43.01666667,3.93,62.6
19,shell.trossulus,-0.294241656,0.210386186,43.03333333,4.02,59.5
20,shell.trossulus,-0.175080245,0.345696247,43.28333333,6.19,60.4
21,shell.trossulus,-0.263800477,0.347332512,43.3,3.15,53.3
22,shell.trossulus,-0.334853246,0.364571242,43.35,4.67,61.5
23,shell.trossulus,-0.228033654,0.370108871,43.4,5.1,62.6
24,shell.trossulus,-0.218634694,0.459434099,43.28333333,4.18,56
25,shell.trossulus,-0.10044069,0.567377707,43.3,7.04,74.7
26,shell.trossulus,-0.156289531,0.703911494,44.26666667,4.25,59.7
27,shell.trossulus,-0.372314784,0.675616244,44.36666667,3.29,56.1
28,shell.trossulus,-0.146825366,1.001528003,44.71666667,3.27,56.2
29,shell.trossulus,-0.161478717,1.01648053,45.25,4.01,61.35
30,shell.trossulus,-0.102624637,1.167118096,42.85,3.89,55.9
31,shell.trossulus,-0.07793248,1.22663843,42.9,5.48,65.8
32,shell.trossulus,-0.105260257,1.291161819,42.23333333,3.44,57.5
33,shell.trossulus,-0.064645238,2.03553485,42.91666667,3.21,52.4
34,shell.trossulus,-0.112346931,1.848328888,42.86666667,4.1,56
35,shell.trossulus,-0.051739957,2.245780826,42.85,5.45,65.1
36,shell.trossulus,-0.135927318,3.174518135,42.88333333,4.58,63.6
37,shell.trossulus,-0.064430436,3.60916028,42.83333333,5.07,62.4
38,shell.trossulus,-0.044513962,4.320569868,42.66666667,3.52,56.1
39,shell.trossulus,-0.046461463,4.335087457,42.65,3.07,54.5
40,shell.trossulus,-0.060897301,4.640985359,42.73333333,5.24,62.2
41,shell.trossulus,-0.021105821,5.090173002,42.58333333,5.26,69.8
42,shell.trossulus,-0.071438168,5.269041005,42.61666667,3.76,61.8
43,shell.trossulus,-0.01686289,7.314445829,43.66666667,6.34,63.3
44,shell.trossulus,-0.014533411,8.312675066,43.91666667,2.75,53
45,shell.trossulus,-0.022046809,8.387088478,43.9,4.71,62.7
46,shell.trossulus.painted,-0.142988943,0.172105443,43.91666667,4.22,54.2
47,shell.trossulus.painted,-0.109934472,0.167568255,43.91666667,4.81,58.2
48,shell.trossulus.painted,-0.101298339,0.16344328,43.28333333,3.8,58.3
49,shell.trossulus.painted,-0.114375127,0.262556473,43.4,4.59,53.2
50,shell.trossulus.painted,0.001950398,0.255924843,43.31666667,3.64,55.9
51,shell.trossulus.painted,-0.123320542,0.243181247,44.06666667,3.63,53.5
52,shell.trossulus.painted,-0.114215543,0.268766512,44.13333333,3.17,53.4
53,shell.trossulus.painted,-0.085390852,0.267153462,44.1,5.66,57.4
54,shell.trossulus.painted,-0.071866661,0.338626169,44.13333333,4.02,55.1
55,shell.trossulus.painted,-0.052697394,0.43668804,42.56666667,3.41,58.1
56,shell.trossulus.painted,-0.051491876,0.487429241,42.56666667,3.57,50.6
57,shell.trossulus.painted,-0.03530582,0.517023525,42.6,4.16,58.8
58,shell.trossulus.painted,-0.023993194,0.655965754,42.61666667,2.92,49.9
59,shell.trossulus.painted,-0.041316841,0.690548858,42.63333333,3.15,51.6
60,shell.trossulus.painted,-0.029506828,0.851744729,42.6,3.72,55.3
61,shell.trossulus.painted,-0.030027474,0.919299006,43.26666667,3.48,50.5
62,shell.trossulus.painted,-0.009578927,2.590407856,43.43333333,2.34,43.1
63,shell.trossulus.painted,-0.012420916,3.771052961,42.98333333,2.72,49.7
64,shell.trossulus.painted,-0.019464556,3.631856086,44.01666667,2.49,45
65,shell.trossulus.painted,0.007963271,4.422460622,44.11666667,2.95,52
66,shell.trossulus.painted,-0.01269944,4.464009069,44.2,2.97,52.7
67,shell.trossulus.painted,0.004609509,5.155514682,44.43333333,2.86,52.6
68,shell.trossulus.painted,0.010768667,6.410996002,44.66666667,4.5,59.5
69,shell.trossulus.painted,0.019392565,7.503801083,44.78333333,3.71,58.9
70,shell.trossulus.painted,0.005594568,7.558411347,44.8,4.17,55.7
71,shell.trossulus.painted,0.004054504,8.460217989,44.83333333,3.23,54.6
72,shell.trossulus.painted,-0.102595296,0.145002145,43.86666667,4.5,64
73,shell.californianus,-0.015767852,1.197322783,108.5166667,15.32,NA
74,shell.californianus,0.004451262,6.808151861,107.9,21.36,NA
75,shell.californianus,-0.010928331,1.393097035,108.7166667,12.35,NA
76,shell.californianus,0.001511024,4.484838797,108,13.99,NA
77,shell.californianus,-0.043474782,0.498779625,108.4,13.07,NA
78,shell.californianus,0.000103201,5.873393699,107.6333333,9.69,NA
79,shell.californianus,-0.047106974,0.487807143,107.6166667,20.27,NA
80,shell.californianus,-0.039921298,0.556822497,108.3,13.35,NA
81,shell.californianus,-0.089328509,0.383482859,109.2333333,13.21,NA
82,shell.californianus,-0.019726321,1.245961179,108.8,16.05,NA
83,shell.californianus,-0.003520008,3.189839062,108.2,23.69,NA
84,shell.californianus,0.003790652,9.033550231,108.6333333,22.33,NA
85,shell.californianus,-0.056043286,0.423442629,109,18.75,NA
86,shell.californianus,-0.00258028,3.166379238,108.1,15.07,NA
87,shell.californianus,-0.093689864,0.276254154,109.3333333,9.08,NA
88,shell.californianus,-0.023048617,1.003892159,110.2833333,12.76,NA
89,shell.californianus,-0.0627022,0.420451301,110.6,8.86,NA
90,shell.californianus,-0.000982635,5.509546395,109.85,13.65,NA
91,shell.californianus,-0.076310381,0.423755803,110.6666667,11.83,NA
92,shell.californianus,-0.031164783,0.28697163,110.4833333,33.08,NA
93,shell.californianus,0.003670113,6.795148312,110.0833333,17.42,NA
94,shell.californianus,-0.058714027,0.520085932,110.7666667,13.47,NA
95,shell.californianus,-0.040456833,0.816481713,110.3666667,21.04,NA
96,shell.californianus,0.004412079,7.44458964,109.8666667,16.37,NA
97,shell.californianus,-0.006327827,2.943341383,111.35,20.78,NA
98,shell.californianus,-0.044376172,0.64400954,111.0333333,20.25,NA
99,shell.californianus,0.00075001,3.297739296,111.7,12.92,NA
100,shell.californianus,0.008083824,4.149588261,111.25,7.71,NA
101,shell.californianus,0.005798167,5.688337399,111.4333333,13.6,NA
102,shell.californianus,-0.066954962,1.002375921,111.1333333,11.96,NA
103,shell.californianus,0.013913895,4.730616116,111.65,8.54,NA
104,shell.californianus,0.001806389,7.185565663,111.8833333,10.27,NA
